codigo,coord_x,coord_y,coord_z,name,t_e,tipo,tipo_est,web,zona_est,diasppmx18,diasppmx17,codigo2
658,-12.46666667,-74.56666667,3000,PAUCARBAMBA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000658,RP,,0,000658
659,-12.85305556,-74.56027778,3236,ACOBAMBA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000659,RP,,1,000659
660,-12.94597222,-74.24566667,2610,HUANTA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000660,RP,,0,000660
663,-13.05166667,-74.14222222,3240,LA QUINUA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000663,RP,,4,000663
664,-13.07666667,-74.21694444,2470,WAYLLAPAMPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000664,RP,,1,000664
665,-13.75027778,-74.07055556,3120,HUANCAPI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000665,RP,,0,000665
669,-13.64861111,-73.36666667,2865,ANDAHUAYLAS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000669,RP,,2,000669
677,-13.55222222,-72.73472222,2763,CURAHUASI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000677,RP,,0,000677
679,-13.16655,-72.54585,2548,MACHU PICCHU,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000679,RP,,0,000679
683,-13.30516667,-72.12455556,2850,URUBAMBA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000683,RP,,1,000683
684,-13.46833333,-72.21583333,3340,ANTA ANCACHURO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000684,RP,,1,000684
686,-13.7675,-71.84472222,3084,PARURO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000686,RP,,4,000686
687,-13.91694444,-71.68361111,3160,ACOMAYO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000687,RP,,0,000687
689,-13.32444444,-71.59055556,3042,PAUCARTAMBO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000689,RP,,3,000689
690,-13.61,-71.56027778,3729,CCATCCA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000690,RP,,1,000690
693,-13.21694444,-70.75027778,651,QUINCEMIL,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000693,RP,,1,000693
695,-13.80388889,-70.49713889,2850,OLLACHEA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000695,RP,,0,000695
698,-14.526475,-75.21305556,325,RIO GRANDE,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000698,RP,,6,000698
700,-14.07330833,-75.71100833,407,SAN CAMILO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000700,RP,,1,000700
708,-15.82625,-70.01208333,3812,PUNO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000708,RP,,4,000708
727,-14.97501111,-74.89081944,587,COPARA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000727,RP,,3,000727
730,-14.37843889,-75.68208333,311,OCUCAJE,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000730,RP,,1,000730
731,-14.54938889,-75.18926111,340,PALPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000731,RP,,1,000731
736,-14.699275,-74.13159722,3168,PUQUIO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000736,RP,7,10,000736
741,-15.74765278,-73.87089444,1033,CHAPARRA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000741,RP,,2,000741
743,-15.01194444,-73.77944722,3156,CORACORA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000743,RP,,3,000743
745,-15.275325,-73.34113333,2477,PAUZA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000745,RP,,1,000745
746,-15.77568056,-73.36258611,1755,CARAVELI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000746,RP,,0,000746
749,-15.21133611,-72.89325278,2683,COTAHUASI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000749,RP,,1,000749
