Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
15-Feb-2014,21.5,10.2,10.6,19.4,14.4,9.2,15.2,12.6,0.0,0.0,E,4.4
16-Feb-2014,20.5,10.5,11,18.6,13.6,9.8,15,12.6,0.0,0.0,N,4.4
17-Feb-2014,22,8.2,9,21.6,13,8.8,17.6,12.4,0.0,0.0,N,2.5
18-Feb-2014,23.5,9,9.6,22.4,14,8.4,16.8,12.8,0.0,0.0,N,4.4
19-Feb-2014,23,11,12,21.8,14.8,11,17,13.0,0.0,0.0,N,4.4
20-Feb-2014,20.5,9.5,10.2,20,13.8,9.8,16.2,12.4,0.0,0.0,E,4.4
21-Feb-2014,20.5,10,11.2,19.2,14.4,10.4,15.8,13.4,0.0,0.0,W,2.5
22-Feb-2014,20.2,10.5,11,19.6,14.6,9.2,16.6,13.2,0.0,0.0,N,4.4
23-Feb-2014,19.5,10.6,11,18,13,9.4,16,12.6,0.0,3.5,E,4.4
24-Feb-2014,17,11.5,11.8,16.4,12.5,11.2,12.4,12.0,2.0,10.2,C,
25-Feb-2014,18,9.5,10.2,16.2,12,10,15,11.8,0.0,5.2,E,4.4
26-Feb-2014,19,8.2,9.4,16.2,13,9,14.8,12.8,13.2,2.0,W,2.5
27-Feb-2014,20.5,10,11.2,18.4,13.8,10.8,16.2,13.4,14.2,0.0,N,4.4
28-Feb-2014,20.5,11.5,11.5,18,13.8,11,16.4,13.5,3.5,0.0,N,4.4
01-Mar-2014,12.5,11,11.8,12,10.8,11.6,11.8,10.6,0.0,5.2,N,2.5
02-Mar-2014,14.5,10,10.2,12.2,11,10,12,10.8,4.5,6.5,N,1.1
03-Mar-2014,15.5,9.5,10.4,13,12.4,10,12.6,12.0,3.2,0.0,E,1.1
04-Mar-2014,16.5,10.5,11,14.8,12.6,10.6,14,12.0,4.7,0.0,N,2.5
05-Mar-2014,15.2,9.2,9.8,13.6,12.8,9.2,13.2,12.2,5.7,2.0,E,2.5
06-Mar-2014,20,9.4,10,18.8,12.2,9.4,16.8,12.0,3.5,2.7,N,4.4
07-Mar-2014,19,9.5,10.4,14.6,14,10,14,13.6,12.5,2.6,N,2.5
08-Mar-2014,16,10.5,11.2,14.2,11.4,11,13.8,11.0,4.0,3.8,E,2.5
09-Mar-2014,16.8,9.5,10.8,14.4,11,10.6,14,10.8,0.0,5.2,N,1.1
10-Mar-2014,18.8,10,10,13.4,11,9.8,13,11.0,12.2,4.8,N,4.4
11-Mar-2014,15.5,9.5,10,13.4,12,9.8,13.2,12.0,5.1,6.0,N,2.5
12-Mar-2014,14,10.5,11,13.2,11.8,10.8,13.2,11.8,1.5,1.2,N,2.5
13-Mar-2014,17,10,10.8,16,12.8,10.2,15.4,12.8,0.0,3.8,N,1.1
14-Mar-2014,19,9.8,11.4,18.4,13,10.6,15.6,12.8,5.2,3.5,N,2.5
15-Mar-2014,19.2,10,11.2,18,13.4,10.8,15.2,13.0,2.0,3.5,N,4.4
16-Mar-2014,18.6,9.8,10.6,17.2,13.2,10.2,16,13.0,2.0,4.2,E,2.5
17-Mar-2014,20.5,10.2,11.6,19.4,14,11.2,16.5,13.6,0.0,2.2,N,4.4
18-Mar-2014,20.8,10,12.2,18.6,13.6,11.8,15.4,13.2,2.4,0.0,E,4.4
19-Mar-2014,21,10.5,13.2,18,13,12.8,16.8,12.6,0.0,2.4,N,4.4
20-Mar-2014,20.2,10.2,12.4,18.2,13.6,12,15.2,13.0,0.0,0.0,N,4.4
21-Mar-2014,20,11,13.6,19,12.4,13,16.2,12.0,0.0,0.0,N,4.4
22-Mar-2014,20.4,9.2,12.6,17.4,13.6,12,15.5,12.2,0.0,0.0,E,4.4
23-Mar-2014,20,9.8,12.8,18.4,14,11.6,15.8,13.2,0.0,0.0,N,4.4
24-Mar-2014,21,10,13.4,19,14,12.2,17,12.4,0.0,0.0,E,4.4
25-Mar-2014,18.5,9.2,12.2,18,13.6,9.4,16,13.0,0.0,0.0,E,2.5
26-Mar-2014,20,9.5,10,18.4,13.4,9.4,17,13.2,0.0,0.0,N,4.4
27-Mar-2014,23,10.5,12.8,21.6,14.6,12,18.6,14.0,0.0,0.0,N,4.4
28-Mar-2014,22.8,9.5,10.4,22,15.2,9.6,19,14.6,0.0,0.0,N,4.4
29-Mar-2014,22.2,10,10.4,22,14.6,9.2,19.4,13.8,0.0,0.0,N,1.1
30-Mar-2014,21.5,7.5,8,20.4,13,7.8,20,12.6,0.0,0.0,N,4.4
31-Mar-2014,23,7.5,9.2,22,14.2,9,19,12.8,0.0,0.0,N,4.4
01-Ene-2015,25.4,10.4,12.6,21.8,13.4,10.8,20.4,11.6,0.0,0.0,S,4.0
02-Ene-2015,24.2,11.5,12.8,18.2,12.6,10.4,17.1,10.4,0.6,0.0,E,4.0
03-Ene-2015,22.6,12.2,13.2,19.3,11.4,10.6,16.4,9.6,0.0,0.0,E,6.0
04-Ene-2015,24.2,11.4,12.6,20.2,10.9,11.2,18.6,9.2,0.0,0.0,S,4.0
05-Ene-2015,23.6,12.6,13.4,21.4,12.2,12.6,19.8,10.4,0.0,0.0,S,6.0
06-Ene-2015,22.8,10.2,12.5,21.6,13.8,10.4,18.6,12.6,0.0,0.0,S,4.0
07-Ene-2015,23.8,9.8,13.4,21.4,14.8,12.6,20.4,13.6,0.0,0.0,S,4.0
08-Ene-2015,24.3,10.2,13.1,19.6,14.4,12.2,18.3,13.8,0.8,0.0,S,6.0
09-Ene-2015,23.6,10.4,12.4,16.2,13.4,11.8,15.2,12.2,1.2,0.0,E,4.0
10-Ene-2015,24.8,9.8,14.2,17.4,15.2,13.1,16.8,14.2,0.6,0.0,S,4.0
11-Ene-2015,23.8,8.8,13.2,19.8,12.8,10.4,18.2,11.2,0.0,0.0,S,6.0
12-Ene-2015,21.8,10.2,12.8,19.6,14.8,10.2,17.2,13.5,0.0,0.0,E,4.0
13-Ene-2015,23.5,9.4,11.4,21.4,12.4,9.2,19.2,11.2,0.0,0.0,W,4.0
