dma,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s),pp,p99,p95,p90,p75
22-ene-18,10.6,3.4,4.2,8.2,7,3.8,7.4,6.4,21.3,3.5,C,,24.8,25,19.5,15.8,11
23-ene-18,14.2,1.8,5.4,12.4,7.8,4.8,8.6,6.6,3.8,0,N,6,3.8,25,19.5,15.8,11
24-ene-18,14.6,1.6,6.6,9.4,10.6,5,7.4,8.4,3.8,0,N,4,3.8,25,19.5,15.8,11
25-ene-18,15.2,-1.6,3,14.6,10.2,2.6,12,8.8,0,0,N,2,0,25,19.5,15.8,11
26-ene-18,16.4,-0.8,4,12.4,8.6,2.8,10,7.2,0,0,W,4,0,25,19.5,15.8,11
27-ene-18,17.8,0.8,5,18,10.8,4.2,11.6,6.4,10,0,NW,4,10,25,19.5,15.8,11
28-ene-18,17.8,-2,3.4,17.4,13,2.4,10,8.6,0,0,N,2,0,25,19.5,15.8,11
29-ene-18,17.2,0.2,5.4,17,11.2,4.6,10,7.8,0,0,NE,4,0,25,19.5,15.8,11
30-ene-18,16.8,1,5.6,16.2,8.4,4.8,13,6.8,0,0,S,4,0,25,19.5,15.8,11
31-ene-18,16.6,0.6,6,14.6,10,4.6,10.4,8.2,1.4,0,NE,4,1.4,25,19.5,15.8,11
01-feb-18,17.2,-1,4.2,16.4,9.6,3.4,10.4,6.8,0,0,N,2,0,27.5,20,15.6,10
02-feb-18,17.4,1.6,6.4,16,9,5.2,11,7,3.5,8,N,2,11.5,27.5,20,15.6,10
03-feb-18,17.6,1.6,6,15.8,8,5.6,10.6,7.4,3.3,12.4,E,4,15.7,27.5,20,15.6,10
04-feb-18,16.4,0.4,4.4,16,9.4,3.8,11.4,8.2,1,3.6,E,2,4.6,27.5,20,15.6,10
05-feb-18,15.4,1.4,7.6,14.8,10.6,6.8,12,10.2,8.7,0,E,4,8.7,27.5,20,15.6,10
06-feb-18,16.4,4.8,9.6,14.6,11.4,8.4,12,11,0,0.8,S,4,0.8,27.5,20,15.6,10
07-feb-18,18.4,4.6,8.6,16.6,9.6,8,13.8,8,0,7.9,NE,2,7.9,27.5,20,15.6,10
08-feb-18,17.2,3.8,7.2,16.4,8.6,6.8,12.6,7.4,0,7.3,E,6,7.3,27.5,20,15.6,10
09-feb-18,16.6,4.4,8.2,13.8,9,7.6,10.6,8.2,1.6,5.2,NE,4,6.8,27.5,20,15.6,10
10-feb-18,14.6,4,8.6,14,10.4,7.6,10.2,9,0,0.6,NE,4,0.6,27.5,20,15.6,10
11-feb-18,15.2,2,5.4,13.8,10.2,4.6,9,7.8,3.4,0,W,4,3.4,27.5,20,15.6,10
12-feb-18,15.6,3.2,8,14.6,11.2,7,10,9.2,0,0,N,2,0,27.5,20,15.6,10
13-feb-18,15.8,5,8.2,14.2,11.4,7,10.6,9.6,2.3,4.1,C,,6.4,27.5,20,15.6,10
14-feb-18,14.6,6.2,9.6,13.6,9.6,8.6,10.8,8.6,0,0,E,6,0,27.5,20,15.6,10
15-feb-18,15.6,4.8,8.2,14.6,10.2,7.6,10.4,8.2,1.4,0,NE,6,1.4,27.5,20,15.6,10
16-feb-18,14.6,3.4,7.2,12.6,11,6,8.8,7.8,5.2,0,NE,6,5.2,27.5,20,15.6,10
17-feb-18,13.6,3.2,7.4,13,10.4,6.4,10.2,8,0,4.2,W,2,4.2,27.5,20,15.6,10
18-feb-18,15.8,2.8,6.6,13.8,11.8,6,11.6,10.2,4.6,0,NW,4,4.6,27.5,20,15.6,10
19-feb-18,14.8,3.2,7.4,14.2,10.6,6.8,11,8.6,1.2,0,NE,4,1.2,27.5,20,15.6,10
20-feb-18,14.6,2.8,7.6,13.6,7.2,7,10.2,6.8,0,5.2,C,,5.2,27.5,20,15.6,10
21-feb-18,15.6,3.2,6.6,14.6,7.4,6,10.6,5.8,13.7,15.1,NE,6,28.8,27.5,20,15.6,10
22-feb-18,16.4,2.2,6.8,14.4,9.6,6.2,10,8,0.5,0.7,E,2,1.2,27.5,20,15.6,10
23-feb-18,14.4,3.8,7.2,14.2,9.8,6.8,9.6,7.6,0,0,W,4,0,27.5,20,15.6,10
24-feb-18,16.4,2.2,6,14.6,10.2,5.4,9.8,8.6,2,0,C,,2,27.5,20,15.6,10
25-feb-18,15.4,1.4,5.6,13.6,10.6,5,9.8,7.8,6.5,0,N,6,6.5,27.5,20,15.6,10
26-feb-18,13.2,2.8,7.6,11.6,11,6.8,9.4,8.4,0.5,2.7,S,4,3.2,27.5,20,15.6,10
27-feb-18,14.6,3,7.6,12.8,10.4,6.4,9.8,8.6,0,0,S,4,0,27.5,20,15.6,10
28-feb-18,15.2,1.8,5.4,15.2,11.2,5.2,11,10,0,0,C,,0,27.5,20,15.6,10
01-mar-18,14.6,2.8,7.4,13.6,,,,,12,1.4,W,6,13.4,25.3,18.5,14,9.5
02-mar-18,14.6,3.8,7.6,13.8,,,,,6.5,0,W,6,6.5,25.3,18.5,14,9.5
03-mar-18,13.4,3.6,6.8,11.4,,,,,1.7,3.5,S,4,5.2,25.3,18.5,14,9.5
04-mar-18,15.4,2.4,8,13.8,,,,,0,0,E,2,0,25.3,18.5,14,9.5
05-mar-18,13.8,4.4,7.4,11.2,,,,,0,1.7,N,4,1.7,25.3,18.5,14,9.5
06-mar-18,14.4,2.6,7.4,10.6,,,,,0,4.7,N,4,4.7,25.3,18.5,14,9.5
07-mar-18,12.4,3.6,6.4,10,,,,,8.5,3.7,E,2,12.2,25.3,18.5,14,9.5
08-mar-18,15.2,4.8,8.4,14,,,,,1.4,0,E,4,1.4,25.3,18.5,14,9.5
09-mar-18,14.2,4,7,12.2,,,,,13.8,0,S,4,13.8,25.3,18.5,14,9.5
10-mar-18,16.2,4.2,7.8,13.8,,,,,2.6,0,N,2,2.6,25.3,18.5,14,9.5
11-mar-18,15.4,1.8,5.2,14.8,,,,,6.1,0,E,4,6.1,25.3,18.5,14,9.5
12-mar-18,15.6,3.6,6.8,14.6,,,,,11.7,0,C,,11.7,25.3,18.5,14,9.5
13-mar-18,16.2,4,7.8,11.4,,,,,18.8,9.7,N,4,28.5,25.3,18.5,14,9.5
14-mar-18,14.6,2.8,7.8,13,,,,,1.9,3.4,E,2,5.3,25.3,18.5,14,9.5
15-mar-18,14.4,3.8,7.4,13.4,,,,,5.7,0,E,4,5.7,25.3,18.5,14,9.5
16-mar-18,12.6,4.6,8.4,9.4,,,,,1.3,4.2,E,2,5.5,25.3,18.5,14,9.5
17-mar-18,14.2,4.6,7.8,11.4,,,,,6.4,1.4,NE,2,7.8,25.3,18.5,14,9.5
18-mar-18,14.6,4.8,8,14.4,,,,,0.8,0,NE,4,0.8,25.3,18.5,14,9.5
19-mar-18,15.6,5.2,8.6,14.8,,,,,0,4.4,NE,8,4.4,25.3,18.5,14,9.5
20-mar-18,15.6,2.4,6.8,15.2,,,,,0,0,NE,4,0,25.3,18.5,14,9.5
21-mar-18,14.6,3.8,8.2,12.8,,,,,0,2.7,E,4,2.7,25.3,18.5,14,9.5
22-mar-18,13.6,5,8.4,11.4,,,,,0,4.7,SE,2,4.7,25.3,18.5,14,9.5
23-mar-18,14.6,4,7,12.8,,,,,11.6,4.4,E,4,16,25.3,18.5,14,9.5
24-mar-18,16.6,3.8,7,15,,,,,8.4,0,NW,4,8.4,25.3,18.5,14,9.5
25-mar-18,12.6,2.4,6.4,9,,,,,0,1.4,E,8,1.4,25.3,18.5,14,9.5
26-mar-18,15.6,-1,4.6,14.6,,,,,0,0,E,4,0,25.3,18.5,14,9.5
27-mar-18,15.8,1.2,5,14.6,,,,,0,0,N,2,0,25.3,18.5,14,9.5
28-mar-18,17.4,0.4,5.4,16.2,,,,,0,6,C,,6,25.3,18.5,14,9.5
29-mar-18,16.8,1.2,6,14.6,,,,,5.2,8.4,N,2,13.6,25.3,18.5,14,9.5
30-mar-18,17.6,3.4,8,17.2,,,,,0,1.7,N,4,1.7,25.3,18.5,14,9.5
31-mar-18,18.4,-0.2,3,16.4,,,,,0,0,S,2,0,25.3,18.5,14,9.5
