Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
20-Mar-2017,17.1,4.1,6.1,16.2,7.2,6,15.1,7.0,2.8,0.0,,
21-Mar-2017,16.2,3.1,5.2,15.3,8.1,5.1,14.2,8.0,10.5,0.0,,
22-Mar-2017,15.2,2.2,4.3,14.3,7.2,4.2,13.2,7.0,4.3,0.0,,
23-Mar-2017,14.1,4.1,6.2,13.2,5.4,6.1,12.1,5.2,1.2,8.4,,
24-Mar-2017,13.2,2.3,4.3,12.3,6.4,4.2,11.2,6.4,1.3,3.2,,
25-Mar-2017,15.1,3.1,5.3,13.2,7.2,5.2,12.1,7.0,3.2,4.4,,
26-Mar-2017,15.1,3.1,5.2,14.3,7.2,5.1,13.2,7.0,0.0,0.0,,
27-Mar-2017,14.1,2.3,4.3,13.2,6.3,4.2,12.1,6.1,1.4,5.2,,
28-Mar-2017,15.2,4.1,6.3,14.2,7.1,6.1,13.1,7.0,2.2,3.4,,
29-Mar-2017,16.2,3.1,5.2,15.3,8.1,5.1,14.2,8.0,1.3,4.2,,
30-Mar-2017,14.2,4.1,6.3,13.3,7.1,6.2,12.2,7.0,2.1,8.3,,
31-Mar-2017,13.2,3.1,5.2,12.2,6.3,5.1,11,6.1,4.2,5.2,,
01-Ene-2018,14.1,3.2,5.4,12.1,6.2,5.2,10,6.0,0.0,12.4,,
02-Ene-2018,15.1,4.1,8.1,14.3,5.4,6,13.2,5.2,0.0,0.0,,
03-Ene-2018,17.1,2.2,4.3,15.2,7.3,4.2,14.1,7.1,0.0,0.0,,
04-Ene-2018,18.1,3.1,5.2,16.3,6.4,5,15.2,6.2,0.0,1.4,,
05-Ene-2018,15.1,4.1,6.1,14.2,5.4,6,13.1,5.2,0.0,3.2,,
06-Ene-2018,13.1,2.2,4.3,11.2,5.4,4.2,10.1,5.2,0.0,14.3,,
07-Ene-2018,14.1,4.2,6.3,12.1,7.1,6.2,11,7.0,3.2,2.3,,
08-Ene-2018,16.1,3.1,5.3,15.3,6.4,5.2,14.1,6.2,0.0,4.1,,
